"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28"
"2000-05-24",86.187472,0.801339,0.741071,87.687488,32.9489858538149,0.147638482730887,0.0885561913057661,0.0673508771441947,-52.6095824337952,-40.2990762806482,114.67140496,54.125008,51.749992,54.437488,51.250024,52.375008,53.312504,51.625
"2000-05-25",88.500048,0.827288,0.767857,87.265584,32.7007548457518,0.139002029226704,0.0976564063697772,0.0772979408100641,-54.1593286466227,-43.0711267538431,114.42468576,51.749992,54.437488,51.250024,52.375008,53.312504,51.625,51.812488
"2000-05-26",87.999968,0.802455,0.761161,86.37496,32.1501220934517,0.11946890375169,0.135369805236427,0.10719413430399,-55.7046519839053,-45.5978317998555,114.26343488,54.437488,51.250024,52.375008,53.312504,51.625,51.812488,54.437488
"2000-05-30",87.624992,0.78683,0.729911,87.562496,33.7519448850059,0.202172998410571,0.153547977129655,0.128858062911953,-56.3822545417585,-47.7547163482361,114.09906032,51.250024,52.375008,53.312504,51.625,51.812488,54.437488,57.124984
"2000-05-31",86.87504,0.814732,0.748326,84,31.3600892014677,0.0782598871817248,0.133300596447995,0.140739459604692,-58.0546147825669,-49.8146960351023,113.98906064,52.375008,53.312504,51.625,51.812488,54.437488,57.124984,56.937496
"2000-06-01",81.750032,0.799665,0.717634,89.125008,38.1505163322508,0.290456662936429,0.190296516176241,0.159048363251297,-57.5733715868774,-51.3664311454573,113.88531056,53.312504,51.625,51.812488,54.437488,57.124984,56.937496,58.874984
"2000-06-02",93.750048,0.890625,0.794643,92.562512,42.2754262201573,0.42483739234319,0.264517980820448,0.196038364481561,-55.2090511473896,-52.1349551458438,113.83343552,51.625,51.812488,54.437488,57.124984,56.937496,58.874984,56.500024
"2000-06-05",93.312464,0.850446,0.800781,91.31248,41.1993782053453,0.381263225292616,0.365519093524078,0.273444530173589,-52.4905747431605,-52.2060790653071,113.81906032,51.812488,54.437488,57.124984,56.937496,58.874984,56.500024,57.687504
"2000-06-06",91.9688,0.863839,0.806362,92.874992,43.1473440071769,0.508905283892972,0.438335300509593,0.356124124951373,-49.1848042979306,-51.6018241118318,113.87593504,54.437488,57.124984,56.937496,58.874984,56.500024,57.687504,58.31252
"2000-06-07",93.625056,0.866071,0.81808,96.56248,47.5623806644759,0.659032046254582,0.516400185146723,0.440084859726798,-43.9108735326616,-50.0636339959978,113.87406016,57.124984,56.937496,58.874984,56.500024,57.687504,58.31252,57.249976
"2000-06-08",97.625024,0.879464,0.831473,94.81248,45.7467161887946,0.745160152840321,0.637699160995958,0.530811548884091,-38.7718307995757,-47.8052733567134,113.8178104,56.937496,58.874984,56.500024,57.687504,58.31252,57.249976,52.687488
"2000-06-09",96.749968,0.874442,0.842634,95.750032,46.9158886115483,0.793549953465787,0.73258071752023,0.628893354554304,-33.4270451116172,-44.9296277076941,113.73593616,58.874984,56.500024,57.687504,58.31252,57.249976,52.687488,55.125
"2000-06-12",96.374992,0.861049,0.811384,91.187488,42.1549015924842,0.558063714297275,0.698924606867794,0.689734828461328,-29.9715017506588,-41.9380025162871,113.58218592,56.500024,57.687504,58.31252,57.249976,52.687488,55.125,53.562488
"2000-06-13",91.187488,0.845424,0.787388,94.5,46.4071532155512,0.729032146181015,0.693548604648026,0.708351309678683,-25.8781783116957,-38.7260376753688,113.39218576,57.687504,58.31252,57.249976,52.687488,55.125,53.562488,48.68752
"2000-06-14",94.687488,0.859375,0.804688,90.437536,42.3002706371722,0.519356498314941,0.60215078626441,0.664874665926744,-23.377165102468,-35.6562631607886,113.18343568,58.31252,57.249976,52.687488,55.125,53.562488,48.68752,50.062488
"2000-06-15",91.249984,0.833705,0.794643,92.375024,44.808867323529,0.619355920250186,0.622581521582047,0.639426970831495,-20.6516124984942,-32.6553330283297,113.0446856,57.249976,52.687488,55.125,53.562488,48.68752,50.062488,50.062488
"2000-06-16",93.499952,0.837054,0.795201,91.187488,43.5588223336829,0.558063714297275,0.565592044287467,0.596774784044642,-18.4470450151999,-29.8136754257038,112.83406064,52.687488,55.125,53.562488,48.68752,50.062488,50.062488,51.999976
"2000-06-19",90.562528,0.873884,0.801897,96.624976,50.3840784226335,0.838708372111844,0.672042668886435,0.620072078251983,-14.1197420130828,-26.6748887431796,112.69843536,55.125,53.562488,48.68752,50.062488,50.062488,51.999976,48.312488
"2000-06-20",98.499968,0.928013,0.878348,101.250016,55.3319840918408,0.885943939271505,0.760905341893541,0.666180018355815,-9.94073484832114,-23.3280579642079,112.61093536,53.562488,48.68752,50.062488,50.062488,51.999976,48.312488,50.812496
"2000-06-21",50.500016,1.016741,0.898438,55.625024,63.7495154802653,0.897812542238384,0.874154951207244,0.769034320662407,-3.51423531932852,-19.365293435232,56.35359296,48.68752,50.062488,50.062488,51.999976,48.312488,50.812496,49.31248
"2000-06-22",55.750016,1.029018,0.956473,53.749976,59.2409751371942,0.713624136075819,0.832460205861903,0.822506832987563,1.20652841909392,-15.2509290643668,56.37234288,50.062488,50.062488,51.999976,48.312488,50.812496,49.31248,47.25
"2000-06-23",53.781224,0.975446,0.907366,51.687496,54.6616269589274,0.561201009808385,0.724212562707529,0.810275906592225,3.28211349191457,-11.5443205531106,56.387968,50.062488,51.999976,48.312488,50.812496,49.31248,47.25,48.000008
"2000-06-26",52.5,0.977679,0.930804,54.125008,58.7226459205473,0.741340065389231,0.672055070424478,0.742909279664636,6.53208162182044,-7.92904011812436,56.43515584,51.999976,48.312488,50.812496,49.31248,47.25,48.000008,47.374992
"2000-06-27",53.781224,0.991071,0.921875,51.749992,53.6775839386311,0.565819641600795,0.62278690559947,0.673018179577159,7.89392167026767,-4.76444776044595,56.43609328,48.312488,50.812496,49.31248,47.25,48.000008,47.374992,47.937512
