"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28","buyprice","strikeprice","adjStrikeprice$V2","return22","return23","return24","return25","return26","return27","return28"
"2006-02-06",72.020004,2.589643,2.383571,67.299988,33.6125305604497,0.0323512046779842,0.0582801950286481,0.142374958583776,-26.9383425667968,-3.99698326275755,65.21440016,63.929992,63.190008,65.679992,67.320008,66.229996,64.310008,64.660008,68.269992,70,17.5,-0.0867144,-0.0972856,-0.0617143999999998,-0.0382856,-0.0538572,-0.0812855999999998,-0.0762856
"2006-02-07",68.269992,2.481429,2.381429,67.600008,34.4930203165195,0.0614149532710287,0.0523170503238618,0.0852513741631543,-31.8435143896172,-9.56628948812947,65.39430016,63.190008,65.679992,67.320008,66.229996,64.310008,64.660008,63.989996,68.489988,70,17.5,-0.0972856,-0.0617143999999998,-0.0382856,-0.0538572,-0.0812855999999998,-0.0762856,-0.0858572000000001
"2007-08-16",117.010012,4.232143,3.986429,117.049996,34.0977038149958,0.160507989478685,0.0997926134894122,0.139578602999284,-28.0148228701436,-4.08225288313512,116.04689936,140.919996,140.77,140.309988,144.149992,148.279992,153.179992,152.769988,122.01,125,31.25,0.127359968,0.12616,0.122479904,0.153199936,0.186239936,0.225439936,0.222159904
"2012-05-17",545.309996,19.553572,18.932858,530.120024,30.4469277897578,0,0.0333109446531801,0.0476476721879709,-37.5188115854241,-22.3579297683502,527.17670012,587.41004,585.740036,577.669988,582.100008,570.770032,572.030032,574.499996,533.96,535,133.75,0.097962691588785,0.0948411887850469,0.0797569869158878,0.0880373981308411,0.0668598728971965,0.0692150130841123,0.073831768224299
"2012-05-18",533.96,19.407499,18.649286,530.379976,30.6094997051057,0.109948636623541,0.0624401456411606,0.0441611791369357,-41.0809069333078,-26.1025252013417,528.44719984,585.740036,577.669988,582.100008,570.770032,572.030032,574.499996,569.049992,534.500036,535,133.75,0.0948411887850469,0.0797569869158878,0.0880373981308411,0.0668598728971965,0.0692150130841123,0.073831768224299,0.0636448448598133
"2012-10-11",646.500036,23.114286,22.432142,628.099976,34.8389639772721,0.0635733763159848,0.142470068014109,0.115280526426916,-23.4036217318865,1.70261570658392,622.589303279999,536.880008,525.619976,527.68002,565.730004,560.909972,561.70002,571.499964,629.55998,630,157.5,-0.147809511111111,-0.165682577777778,-0.162412666666667,-0.102015866666667,-0.109666711111111,-0.108412666666667,-0.0928571999999999
"2016-11-10",111.089996,27.772499,26.4575,107.79,31.8636240918553,0.156424581005587,0.239573061668164,0.232090963005795,-25.2773462258945,-4.36675103123603,107.47850008,115.190004,115.190004,115.82,115.97,116.64,116.949996,117.059996,107.120004,110,3.92857142857143,0.0471818545454545,0.0471818545454545,0.0529090909090908,0.0542727272727273,0.0603636363636364,0.0631817818181819,0.0641817818181818
"2016-11-11",107.120004,27.217501,26.637501,108.43,34.9574973935817,0.207501995211493,0.212805564137035,0.238202346173426,-28.0835799838367,-9.11011682175618,107.60730004,115.190004,115.82,115.97,116.64,116.949996,117.059996,116.29,107.71,110,3.92857142857143,0.0471818545454545,0.0529090909090908,0.0542727272727273,0.0603636363636364,0.0631817818181819,0.0641817818181818,0.0571818181818182
"2019-05-20",183.520004,46.087502,45.07,183.089996,32.7616793765549,0.0802168518660411,0.164138713883376,0.200396384239676,-26.2530092121876,-0.130380884017348,179.58649968,199.460008,198.78,198.58,195.570008,199.800004,199.740004,197.92,185.22,190,6.78571428571429,0.0497895157894737,0.0462105263157895,0.0451578947368421,0.0293158315789475,0.0515789684210526,0.0512631789473683,0.0416842105263158
"2019-05-22",184.660004,46.427502,45.637501,182.78,34.98179828944,0.0792142052236001,0.118224620326785,0.145779270845537,-34.9184144509337,-11.9359516015199,180.14709984,198.58,195.570008,199.800004,199.740004,197.92,201.550004,202.729996,179.800004,180,6.42857142857143,0.103222222222222,0.0865000444444444,0.110000022222222,0.109666688888889,0.0995555555555554,0.119722244444444,0.126277755555556
"2022-01-25",158.979996,162.759995,157.020004,159.779999,32.2318174843676,0.199450404418909,0.149940763067233,0.0841959537400204,-21.855036957699,-0.596483640499149,158.09500014,164.850006,165.119995,163.199997,166.559998,166.229996,163.169998,159.300003,163.5,165,1.47321428571429,-0.000909054545454535,0.00072724242424238,-0.0109091090909091,0.00945453333333335,0.00745452121212131,-0.0110909212121213,-0.0345454363636364
"2022-01-26",163.5,164.389999,157.820007,159.690002,32.1268638430021,0.221975350885294,0.222156044671609,0.153805891611884,-25.1655036478848,-5.51028764197627,158.15540022,165.119995,163.199997,166.559998,166.229996,163.169998,159.300003,157.440002,162.449997,165,1.47321428571429,0.00072724242424238,-0.0109091090909091,0.00945453333333335,0.00745452121212131,-0.0110909212121213,-0.0345454363636364,-0.0458181696969697
"2022-01-27",162.449997,163.839996,158.279999,159.220001,31.5490937770218,0.2010678293715,0.207497861558567,0.193198223099135,-28.3285126262712,-10.0739326388353,158.2046002,163.199997,166.559998,166.229996,163.169998,159.300003,157.440002,162.949997,165.710007,170,1.51785714285714,-0.0400000176470588,-0.0202353058823529,-0.0221764941176471,-0.0401764823529412,-0.0629411588235294,-0.0738823411764706,-0.041470605882353
